종목코드,종목명,마지막행_날짜,마지막행_상태,직전30일_정지행수,상장폐지일,분류
440790,교보13호스팩,2025-07-10,normal,1,2025-07-11,정상거래에서 급정지 → 상폐
476470,KB제28호스팩,2025-07-08,susp,13,2025-07-09,정지행으로 종료 → 상폐
442130,유진스팩9호,2025-07-08,normal,1,2025-07-09,정상거래에서 급정지 → 상폐
439410,엔에이치스팩26호,2025-07-07,normal,1,2025-07-08,정상거래에서 급정지 → 상폐
226440,한송네오텍,2025-06-18,normal,13,2025-06-19,정상거래에서 급정지 → 상폐
323230,엠에프엠코리아,2025-06-18,normal,13,2025-06-19,정상거래에서 급정지 → 상폐
071460,위니아,2025-06-17,normal,13,2025-06-18,정상거래에서 급정지 → 상폐
072520,제넨바이오,2025-06-17,normal,13,2025-06-18,정상거래에서 급정지 → 상폐
468510,삼성스팩9호,2025-06-16,susp,14,2025-06-17,정지행으로 종료 → 상폐
029960,코엔텍,2025-06-13,susp,11,2025-06-16,정지행으로 종료 → 상폐
438580,엔에이치스팩25호,2025-06-10,normal,1,2025-06-11,정상거래에서 급정지 → 상폐
439730,IBKS제20호스팩,2025-05-30,normal,1,2025-06-02,정상거래에서 급정지 → 상폐
439250,삼성스팩7호,2025-05-30,normal,1,2025-06-02,정상거래에서 급정지 → 상폐
283100,?,2025-05-27,normal,12,2025-05-28,정상거래에서 급정지 → 상폐
012600,청호ICT,2025-05-26,normal,11,2025-05-27,정상거래에서 급정지 → 상폐
435620,하나금융25호스팩,2025-05-23,normal,1,2025-05-26,정상거래에서 급정지 → 상폐
437780,엔에이치스팩24호,2025-05-23,normal,1,2025-05-26,정상거래에서 급정지 → 상폐
456440,DB금융스팩11호,2025-05-15,susp,13,2025-05-16,정지행으로 종료 → 상폐
435870,에스케이증권제8호스팩,2025-05-15,normal,1,2025-05-16,정상거래에서 급정지 → 상폐
457390,대신밸런스제15호스팩,2025-05-14,susp,12,2025-05-15,정지행으로 종료 → 상폐
435380,유안타제10호스팩,2025-05-13,normal,1,2025-05-14,정상거래에서 급정지 → 상폐
258540,?,2025-05-02,normal,14,2025-05-07,정상거래에서 급정지 → 상폐
477530,한국제14호스팩,2025-04-28,susp,12,2025-04-29,정지행으로 종료 → 상폐
